




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (4895)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (expected)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (over/under)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (fold Enrichment)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (raw P-value)	H3K4me1_HCT116_intersect_G4_genes_uniq.txt (FDR)
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	115.51	-	.03	9.91E-41	1.57E-36
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	2	104.82	-	.02	4.49E-38	3.55E-34
detection of chemical stimulus (GO:0009593)	522	13	124.07	-	.10	6.85E-33	3.61E-29
sensory perception of chemical stimulus (GO:0007606)	543	16	129.06	-	.12	5.31E-32	2.10E-28
sensory perception of smell (GO:0007608)	468	10	111.23	-	.09	3.62E-31	1.14E-27
detection of stimulus involved in sensory perception (GO:0050906)	557	21	132.39	-	.16	2.25E-29	5.92E-26
positive regulation of cellular process (GO:0048522)	5741	1706	1364.52	+	1.25	1.68E-21	3.79E-18
cellular process (GO:0009987)	15495	3987	3682.84	+	1.08	6.52E-21	1.29E-17
detection of stimulus (GO:0051606)	721	58	171.37	-	.34	1.20E-20	2.11E-17
regulation of cellular metabolic process (GO:0031323)	6138	1790	1458.87	+	1.23	1.09E-19	1.73E-16
positive regulation of biological process (GO:0048518)	6331	1830	1504.75	+	1.22	8.43E-19	1.21E-15
regulation of metabolic process (GO:0019222)	6874	1962	1633.81	+	1.20	1.64E-18	2.16E-15
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1676	1364.28	+	1.23	3.05E-18	3.45E-15
regulation of primary metabolic process (GO:0080090)	5925	1722	1408.25	+	1.22	3.30E-18	3.48E-15
positive regulation of cellular metabolic process (GO:0031325)	3314	1049	787.67	+	1.33	2.96E-18	3.60E-15
negative regulation of cellular process (GO:0048523)	4902	1462	1165.10	+	1.25	3.93E-18	3.65E-15
adaptive immune response (GO:0002250)	658	55	156.39	-	.35	3.72E-18	3.68E-15
positive regulation of metabolic process (GO:0009893)	3820	1180	907.93	+	1.30	6.49E-18	5.70E-15
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	993	742.27	+	1.34	1.22E-17	1.02E-14
regulation of signaling (GO:0023051)	3545	1095	842.57	+	1.30	1.81E-16	1.43E-13
regulation of macromolecule metabolic process (GO:0060255)	6340	1807	1506.89	+	1.20	2.60E-16	1.87E-13
